 x, y, z, ix, iy, iz
      -0.20499999E-03,     -0.15000000E-04,     -0.11000000E-04,      -2,      -2,       0
      -0.20299999E-03,     -0.15000000E-04,     -0.11000000E-04,      -1,      -2,       0
      -0.20099999E-03,     -0.15000000E-04,     -0.11000000E-04,       0,      -2,       0
      -0.19900000E-03,     -0.15000000E-04,     -0.11000000E-04,       1,      -2,       0
      -0.19700000E-03,     -0.15000000E-04,     -0.11000000E-04,       2,      -2,       0
      -0.19500000E-03,     -0.15000000E-04,     -0.11000000E-04,       3,      -2,       0
      -0.19300000E-03,     -0.15000000E-04,     -0.11000000E-04,       4,      -2,       0
      -0.19100000E-03,     -0.15000000E-04,     -0.11000000E-04,       5,      -2,       0
      -0.18900000E-03,     -0.15000000E-04,     -0.11000000E-04,       6,      -2,       0
      -0.18700000E-03,     -0.15000000E-04,     -0.11000000E-04,       7,      -2,       0
      -0.18500000E-03,     -0.15000000E-04,     -0.11000000E-04,       8,      -2,       0
      -0.18300000E-03,     -0.15000000E-04,     -0.11000000E-04,       9,      -2,       0
      -0.18100000E-03,     -0.15000000E-04,     -0.11000000E-04,      10,      -2,       0
      -0.17900000E-03,     -0.15000000E-04,     -0.11000000E-04,      11,      -2,       0
      -0.17699999E-03,     -0.15000000E-04,     -0.11000000E-04,      12,      -2,       0
      -0.17499999E-03,     -0.15000000E-04,     -0.11000000E-04,      13,      -2,       0
      -0.17299999E-03,     -0.15000000E-04,     -0.11000000E-04,      14,      -2,       0
      -0.17099999E-03,     -0.15000000E-04,     -0.11000000E-04,      15,      -2,       0
      -0.16899999E-03,     -0.15000000E-04,     -0.11000000E-04,      16,      -2,       0
      -0.16699999E-03,     -0.15000000E-04,     -0.11000000E-04,      17,      -2,       0
      -0.16499999E-03,     -0.15000000E-04,     -0.11000000E-04,      18,      -2,       0
      -0.16299999E-03,     -0.15000000E-04,     -0.11000000E-04,      19,      -2,       0
      -0.16099999E-03,     -0.15000000E-04,     -0.11000000E-04,      20,      -2,       0
      -0.15899999E-03,     -0.15000000E-04,     -0.11000000E-04,      21,      -2,       0
      -0.15700000E-03,     -0.15000000E-04,     -0.11000000E-04,      22,      -2,       0
      -0.15500000E-03,     -0.15000000E-04,     -0.11000000E-04,      23,      -2,       0
      -0.15300000E-03,     -0.15000000E-04,     -0.11000000E-04,      24,      -2,       0
      -0.15100000E-03,     -0.15000000E-04,     -0.11000000E-04,      25,      -2,       0
      -0.14900000E-03,     -0.15000000E-04,     -0.11000000E-04,      26,      -2,       0
      -0.14700000E-03,     -0.15000000E-04,     -0.11000000E-04,      27,      -2,       0
      -0.14500000E-03,     -0.15000000E-04,     -0.11000000E-04,      28,      -2,       0
      -0.14300000E-03,     -0.15000000E-04,     -0.11000000E-04,      29,      -2,       0
      -0.14100000E-03,     -0.15000000E-04,     -0.11000000E-04,      30,      -2,       0
      -0.13900000E-03,     -0.15000000E-04,     -0.11000000E-04,      31,      -2,       0
      -0.13700000E-03,     -0.15000000E-04,     -0.11000000E-04,      32,      -2,       0
      -0.13499999E-03,     -0.15000000E-04,     -0.11000000E-04,      33,      -2,       0
      -0.13299999E-03,     -0.15000000E-04,     -0.11000000E-04,      34,      -2,       0
      -0.13099999E-03,     -0.15000000E-04,     -0.11000000E-04,      35,      -2,       0
      -0.12899999E-03,     -0.15000000E-04,     -0.11000000E-04,      36,      -2,       0
      -0.12699999E-03,     -0.15000000E-04,     -0.11000000E-04,      37,      -2,       0
      -0.12499999E-03,     -0.15000000E-04,     -0.11000000E-04,      38,      -2,       0
      -0.12299999E-03,     -0.15000000E-04,     -0.11000000E-04,      39,      -2,       0
      -0.12100000E-03,     -0.15000000E-04,     -0.11000000E-04,      40,      -2,       0
      -0.11900000E-03,     -0.15000000E-04,     -0.11000000E-04,      41,      -2,       0
      -0.11700000E-03,     -0.15000000E-04,     -0.11000000E-04,      42,      -2,       0
      -0.11500000E-03,     -0.15000000E-04,     -0.11000000E-04,      43,      -2,       0
      -0.11299999E-03,     -0.15000000E-04,     -0.11000000E-04,      44,      -2,       0
      -0.11099999E-03,     -0.15000000E-04,     -0.11000000E-04,      45,      -2,       0
      -0.10899999E-03,     -0.15000000E-04,     -0.11000000E-04,      46,      -2,       0
      -0.10699999E-03,     -0.15000000E-04,     -0.11000000E-04,      47,      -2,       0
      -0.10499999E-03,     -0.15000000E-04,     -0.11000000E-04,      48,      -2,       0
      -0.10300000E-03,     -0.15000000E-04,     -0.11000000E-04,      49,      -2,       0
      -0.10100000E-03,     -0.15000000E-04,     -0.11000000E-04,      50,      -2,       0
      -0.98999997E-04,     -0.15000000E-04,     -0.11000000E-04,      51,      -2,       0
      -0.96999996E-04,     -0.15000000E-04,     -0.11000000E-04,      52,      -2,       0
      -0.94999996E-04,     -0.15000000E-04,     -0.11000000E-04,      53,      -2,       0
      -0.92999995E-04,     -0.15000000E-04,     -0.11000000E-04,      54,      -2,       0
      -0.90999994E-04,     -0.15000000E-04,     -0.11000000E-04,      55,      -2,       0
      -0.88999994E-04,     -0.15000000E-04,     -0.11000000E-04,      56,      -2,       0
      -0.86999993E-04,     -0.15000000E-04,     -0.11000000E-04,      57,      -2,       0
      -0.84999992E-04,     -0.15000000E-04,     -0.11000000E-04,      58,      -2,       0
      -0.82999992E-04,     -0.15000000E-04,     -0.11000000E-04,      59,      -2,       0
      -0.80999998E-04,     -0.15000000E-04,     -0.11000000E-04,      60,      -2,       0
      -0.78999998E-04,     -0.15000000E-04,     -0.11000000E-04,      61,      -2,       0
      -0.76999997E-04,     -0.15000000E-04,     -0.11000000E-04,      62,      -2,       0
      -0.74999996E-04,     -0.15000000E-04,     -0.11000000E-04,      63,      -2,       0
      -0.72999996E-04,     -0.15000000E-04,     -0.11000000E-04,      64,      -2,       0
      -0.70999995E-04,     -0.15000000E-04,     -0.11000000E-04,      65,      -2,       0
      -0.68999994E-04,     -0.15000000E-04,     -0.11000000E-04,      66,      -2,       0
      -0.66999994E-04,     -0.15000000E-04,     -0.11000000E-04,      67,      -2,       0
      -0.64999993E-04,     -0.15000000E-04,     -0.11000000E-04,      68,      -2,       0
      -0.62999992E-04,     -0.15000000E-04,     -0.11000000E-04,      69,      -2,       0
      -0.60999995E-04,     -0.15000000E-04,     -0.11000000E-04,      70,      -2,       0
      -0.58999995E-04,     -0.15000000E-04,     -0.11000000E-04,      71,      -2,       0
      -0.56999994E-04,     -0.15000000E-04,     -0.11000000E-04,      72,      -2,       0
      -0.54999997E-04,     -0.15000000E-04,     -0.11000000E-04,      73,      -2,       0
      -0.52999996E-04,     -0.15000000E-04,     -0.11000000E-04,      74,      -2,       0
      -0.50999995E-04,     -0.15000000E-04,     -0.11000000E-04,      75,      -2,       0
      -0.48999995E-04,     -0.15000000E-04,     -0.11000000E-04,      76,      -2,       0
      -0.46999994E-04,     -0.15000000E-04,     -0.11000000E-04,      77,      -2,       0
      -0.44999997E-04,     -0.15000000E-04,     -0.11000000E-04,      78,      -2,       0
