 x, y, z, ix, iy, iz
      -0.20499999E-03,     -0.15000000E-04,      0.10900000E-03,      -2,      -2,      60
      -0.20299999E-03,     -0.15000000E-04,      0.10900000E-03,      -1,      -2,      60
      -0.20099999E-03,     -0.15000000E-04,      0.10900000E-03,       0,      -2,      60
      -0.19900000E-03,     -0.15000000E-04,      0.10900000E-03,       1,      -2,      60
      -0.19700000E-03,     -0.15000000E-04,      0.10900000E-03,       2,      -2,      60
      -0.19500000E-03,     -0.15000000E-04,      0.10900000E-03,       3,      -2,      60
      -0.19300000E-03,     -0.15000000E-04,      0.10900000E-03,       4,      -2,      60
      -0.19100000E-03,     -0.15000000E-04,      0.10900000E-03,       5,      -2,      60
      -0.18900000E-03,     -0.15000000E-04,      0.10900000E-03,       6,      -2,      60
      -0.18700000E-03,     -0.15000000E-04,      0.10900000E-03,       7,      -2,      60
      -0.18500000E-03,     -0.15000000E-04,      0.10900000E-03,       8,      -2,      60
      -0.18300000E-03,     -0.15000000E-04,      0.10900000E-03,       9,      -2,      60
      -0.18100000E-03,     -0.15000000E-04,      0.10900000E-03,      10,      -2,      60
      -0.17900000E-03,     -0.15000000E-04,      0.10900000E-03,      11,      -2,      60
      -0.17699999E-03,     -0.15000000E-04,      0.10900000E-03,      12,      -2,      60
      -0.17499999E-03,     -0.15000000E-04,      0.10900000E-03,      13,      -2,      60
      -0.17299999E-03,     -0.15000000E-04,      0.10900000E-03,      14,      -2,      60
      -0.17099999E-03,     -0.15000000E-04,      0.10900000E-03,      15,      -2,      60
      -0.16899999E-03,     -0.15000000E-04,      0.10900000E-03,      16,      -2,      60
      -0.16699999E-03,     -0.15000000E-04,      0.10900000E-03,      17,      -2,      60
      -0.16499999E-03,     -0.15000000E-04,      0.10900000E-03,      18,      -2,      60
      -0.16299999E-03,     -0.15000000E-04,      0.10900000E-03,      19,      -2,      60
      -0.16099999E-03,     -0.15000000E-04,      0.10900000E-03,      20,      -2,      60
      -0.15899999E-03,     -0.15000000E-04,      0.10900000E-03,      21,      -2,      60
      -0.15700000E-03,     -0.15000000E-04,      0.10900000E-03,      22,      -2,      60
      -0.15500000E-03,     -0.15000000E-04,      0.10900000E-03,      23,      -2,      60
      -0.15300000E-03,     -0.15000000E-04,      0.10900000E-03,      24,      -2,      60
      -0.15100000E-03,     -0.15000000E-04,      0.10900000E-03,      25,      -2,      60
      -0.14900000E-03,     -0.15000000E-04,      0.10900000E-03,      26,      -2,      60
      -0.14700000E-03,     -0.15000000E-04,      0.10900000E-03,      27,      -2,      60
      -0.14500000E-03,     -0.15000000E-04,      0.10900000E-03,      28,      -2,      60
      -0.14300000E-03,     -0.15000000E-04,      0.10900000E-03,      29,      -2,      60
      -0.14100000E-03,     -0.15000000E-04,      0.10900000E-03,      30,      -2,      60
      -0.13900000E-03,     -0.15000000E-04,      0.10900000E-03,      31,      -2,      60
      -0.13700000E-03,     -0.15000000E-04,      0.10900000E-03,      32,      -2,      60
      -0.13499999E-03,     -0.15000000E-04,      0.10900000E-03,      33,      -2,      60
      -0.13299999E-03,     -0.15000000E-04,      0.10900000E-03,      34,      -2,      60
      -0.13099999E-03,     -0.15000000E-04,      0.10900000E-03,      35,      -2,      60
      -0.12899999E-03,     -0.15000000E-04,      0.10900000E-03,      36,      -2,      60
      -0.12699999E-03,     -0.15000000E-04,      0.10900000E-03,      37,      -2,      60
      -0.12499999E-03,     -0.15000000E-04,      0.10900000E-03,      38,      -2,      60
      -0.12299999E-03,     -0.15000000E-04,      0.10900000E-03,      39,      -2,      60
      -0.12100000E-03,     -0.15000000E-04,      0.10900000E-03,      40,      -2,      60
      -0.11900000E-03,     -0.15000000E-04,      0.10900000E-03,      41,      -2,      60
      -0.11700000E-03,     -0.15000000E-04,      0.10900000E-03,      42,      -2,      60
      -0.11500000E-03,     -0.15000000E-04,      0.10900000E-03,      43,      -2,      60
      -0.11299999E-03,     -0.15000000E-04,      0.10900000E-03,      44,      -2,      60
      -0.11099999E-03,     -0.15000000E-04,      0.10900000E-03,      45,      -2,      60
      -0.10899999E-03,     -0.15000000E-04,      0.10900000E-03,      46,      -2,      60
