 time, stf, M0, fz, dt_dxyz
       0.10000000E-06,      0.27633218E+04,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.20000000E-06,      0.78028159E+04,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.30000001E-06,      0.14294833E+05,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.40000000E-06,      0.21922637E+05,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.50000000E-06,      0.30484336E+05,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.59999996E-06,      0.39827113E+05,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.69999999E-06,      0.49823953E+05,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.80000001E-06,      0.60363074E+05,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.89999997E-06,      0.71342438E+05,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.10000000E-05,      0.82666758E+05,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.11000001E-05,      0.94245609E+05,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12000000E-05,      0.10599238E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13000000E-05,      0.11782370E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.14000001E-05,      0.12965900E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.15000001E-05,      0.14142036E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.16000000E-05,      0.15303250E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.17000001E-05,      0.16442280E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.18000001E-05,      0.17552134E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.19000000E-05,      0.18626116E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.20000000E-05,      0.19657828E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.20999998E-05,      0.20641200E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.21999999E-05,      0.21570506E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.23000000E-05,      0.22440372E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.23999999E-05,      0.23245809E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.24999999E-05,      0.23982230E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.26000000E-05,      0.24645456E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.26999999E-05,      0.25231744E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.27999999E-05,      0.25737800E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.29000000E-05,      0.26160784E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.29999999E-05,      0.26498334E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.31000000E-05,      0.26748562E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.32000000E-05,      0.26910081E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.32999999E-05,      0.26981988E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.34000000E-05,      0.26963881E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.35000000E-05,      0.26855862E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.35999999E-05,      0.26658534E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.37000000E-05,      0.26372994E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.38000001E-05,      0.26000834E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.39000001E-05,      0.25544133E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.40000000E-05,      0.25005447E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.40999998E-05,      0.24387798E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.42000001E-05,      0.23694661E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.43000000E-05,      0.22929962E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.43999999E-05,      0.22098042E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.45000002E-05,      0.21203650E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.46000000E-05,      0.20251938E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.46999999E-05,      0.19248417E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.48000002E-05,      0.18198955E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.49000000E-05,      0.17109762E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.49999999E-05,      0.15987355E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.51000002E-05,      0.14838545E+06,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
